=== Sheet: 14@80-21 ===
Row 7: ('1.  ELEMENT: MONTHLY MEAN MAXIMUM TEMPERATURE (DEG C)', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 9: ('YEAR', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'OCT', 'NOV', 'DEC', None, None, None, None, None, None, None)
Row 10: (1980, 30.1, 33.1, 35.4, 36.7, 35.1, 31.1, 30.9, 31.1, 32.8, 31.8, 30.2, 30.6, None, None, None, None, None, None, None)
Row 11: (1981, 31.3, 33.9, 35.7, 36.9, 35.5, 29.9, 31.1, 31.2, 31.2, 30.4, 30.2, 29.3, None, None, None, None, None, None, None)
Row 12: (1982, 30.8, 34.5, 37.1, 36.9, 35.6, 32, 31.9, 31.8, 33.8, 33.1, 29.6, 29, None, None, None, None, None, None, None)
Row 13: (1983, 31.4, 35.9, 38.4, 39.5, 36.9, 33.2, 32.2, 31.5, 31.1, 32.4, 31, 29.2, None, None, None, None, None, None, None)
Row 14: (1984, 29.6, 31.1, 33.9, 35.9, 37.3, 31.4, 31.3, 32.4, 33.3, 31.3, 30.7, 30, None, None, None, None, None, None, None)
Row 15: (1985, 30.1, 34, 37.4, 36.9, 37.2, 32.2, 31.1, 32, 32.8, 32.1, 30.2, 30.3, None, None, None, None, None, None, None)
Row 16: (1986, 30.8, 33, 36.3, 39.2, 36.3, 33.5, 32.9, 32.2, 33.5, 33, 30.4, 30.8, None, None, None, None, None, None, None)
Row 17: (1987, 31.8, 34.1, 36.6, 38.6, 38.5, 34.2, 33.5, 33.2, 34.7, 32.6, 31, 29.1, None, None, None, None, None, None, None)
Row 18: (1988, 30.1, 34.7, 37.4, 36.8, 34.8, 32.7, 31.5, 31.9, 30.2, 33.4, 31.6, 31.7, None, None, None, None, None, None, None)
Row 19: (1989, 31.9, 35, 36.1, 37.9, 35.2, 32.6, 31.9, 32.7, 32.5, 32.5, 30.6, 30.3, None, None, None, None, None, None, None)
Row 20: (1990, 31.2, 34.8, 36.7, 36.4, 33.5, 32.3, 31.4, 31.4, 33, 32.7, 36.2, 29.3, None, None, None, None, None, None, None)
Row 21: (1991, 31.4, 33.8, 36.7, 36.8, 36.7, 31.4, 30.6, 30.9, 33.5, 31.9, 29.9, 30, None, None, None, None, None, None, None)
Row 22: (1992, 30.4, 34.1, 36.9, 37.7, 35.4, 32.2, 31, 30.8, 32.1, 31.3, 29.5, 28.2, None, None, None, None, None, None, None)
Row 23: (1993, 30.5, 33.1, 34.7, 37.2, 35.9, 32.1, 31.2, 32, 32.1, 31.3, 28.8, 27.9, None, None, None, None, None, None, None)
Row 24: (1994, 30.3, 33.1, 36, 35, 34.7, 31.5, 30, 31.2, 33.1, 31.4, 28.7, 29.5, None, None, None, None, None, None, None)
Row 25: (1995, 30.3, 33.4, 35.9, 36.9, 34.1, 32.5, 31.3, 32.7, 32.8, 32.9, 31.3, 30, None, None, None, None, None, None, None)
Row 26: (1996, 31.3, 33.4, 36.5, 35.6, 34.3, 32.4, 31.5, 31.5, 31.8, 31.2, 31.1, 28.9, None, None, None, None, None, None, None)
Row 27: (1997, 30.2, 33.5, 35.9, 35.8, 35.9, 34.5, 30.7, 31.6, 33.6, 32.4, 30, 29.5, None, None, None, None, None, None, None)
Row 28: (1998, 31.4, 33.9, 36.8, 38.2, 35.9, 33.6, 31.9, 32.4, 32.1, 32, 30.4, 28.5, None, None, None, None, None, None, None)
Row 29: (1999, 30.5, 33.3, 36.7, 35.3, 33.9, 32.5, 31.5, 32.6, 34, 31, 29.7, 28.7, None, None, None, None, None, None, None)
Row 30: (2000, 30.6, 32.5, 34.9, 35.8, 35.8, 32.3, 32.3, 31.2, 32.3, 31.6, 31, 29.5, None, None, None, None, None, None, None)
Row 31: (2001, 31.2, 34.5, 36.2, 35.5, 35, 31.6, 31.8, 32, 33.4, 32, 30.6, 29, None, None, None, None, None, None, None)
Row 32: (2002, 31.1, 32.1, 36.7, 37.5, 35.7, 33.2, 32.7, 31.8, 33.6, 31.9, 30.3, 30.9, None, None, None, None, None, None, None)
Row 33: (2003, 31.8, 34.2, 35.3, 35.9, 35.5, 33.7, 31.6, 33, 33.7, 31.8, 28.5, 30.5, None, None, None, None, None, None, None)
Row 34: (2004, 31.8, 33.6, 37.1, 32, 32.2, 31.7, 31.8, 31.9, 32.3, 30.6, 28.8, 30.2, None, None, None, None, None, None, None)
Row 35: (2005, 31.8, 33.9, 35.3, 34.9, 35.6, 32.8, 31.6, 32.4, 32.4, 31.4, 28.8, 29.7, None, None, None, None, None, None, None)
Row 36: (2006, 30, 32.3, 34.5, 35.3, 33.6, 31.9, 31.8, 32.2, 31, 31.3, 29.2, 29.2, None, None, None, None, None, None, None)
Row 37: (2007, 30.2, 32.5, 35.7, 37.4, 34.8, 32.3, 30.3, 30.6, 31.3, 31, 30.3, 29.1, None, None, None, None, None, None, None)
Row 38: (2008, 30.3, 32.3, 32.1, 35, 34.8, 32.3, 31.5, 31.4, 31.3, 31, 30.4, 29, None, None, None, None, None, None, None)
Row 39: (2009, 30.2, 33.4, 35.2, 36.1, 34.5, 32.5, 30.3, 32, 31.9, 32.2, 29.9, 29.2, None, None, None, None, None, None, None)
Row 40: (2010, 30.6, 33.3, 36.2, 37.3, 35.3, 32.9, 31.5, 30.9, 31.9, 31.7, 29.1, 28.9, None, None, None, None, None, None, None)
Row 41: (2011, 30.7, 32.4, 34.8, 34.5, 34.2, 31.1, 31.3, 31.3, 31.8, 32.3, 29.3, 29.7, None, None, None, None, None, None, None)
Row 42: (2012, 30.2, 32.7, 35.7, 36.1, 34.8, 32.4, 31.8, 31.2, 32.5, 31.5, 31.2, 30.8, None, None, None, None, None, None, None)
